metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1713525910431075,1.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_duration,1713525910431075,76.108913,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_blocked,1713525910431075,2.330175,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_connecting,1713525910431075,2.232202,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_tls_handshaking,1713525910431075,0.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_sending,1713525910431075,0.067096,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_waiting,1713525910431075,74.408379,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_receiving,1713525910431075,1.633438,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_failed,1713525910431075,0.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
checks,1713525910431349,1.000000,is status 200,,,,,,,,steady_traffic,,,,,,,
data_sent,1713525910431397,304.000000,,,,,,,,,steady_traffic,,,,,,,
data_received,1713525910431397,67373.000000,,,,,,,,,steady_traffic,,,,,,,
iteration_duration,1713525910431397,78.929550,,,,,,,,,steady_traffic,,,,,,,
iterations,1713525910431397,1.000000,,,,,,,,,steady_traffic,,,,,,,
vus,1713525911333042,0.000000,,,,,,,,,,,,,,,,
vus_max,1713525911333042,200.000000,,,,,,,,,,,,,,,,
http_reqs,1713525911419136,1.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_duration,1713525911419136,68.979785,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_blocked,1713525911419136,1.403175,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_connecting,1713525911419136,1.294822,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_tls_handshaking,1713525911419136,0.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_sending,1713525911419136,0.087354,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_waiting,1713525911419136,67.445493,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_receiving,1713525911419136,1.446938,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
